node,year_construction,capacity_existing
AL,2024,0.3
AT,2024,5.0
BA,2024,0.2
BE,2024,7.4508298
BG,2024,1.7852370000000002
CH,2024,5.48743155984
CY,2024,0.518
CZ,2024,2.60198
DE,2024,74.492
DK,2024,5.133397
EE,2024,0.26
EL,2024,5.0341783454
ES,2024,25.864257807150004
FI,2024,0.698
FR,2024,18.185
HR,2024,0.4
HU,2024,3.777
IE,2024,0.242
IT,2024,35.22827578543
LT,2024,1.0
LU,2024,0.3
LV,2024,0.04047601231
ME,2024,0.02
MK,2024,0.203
MT,2024,0.2369872161099999
NL,2024,18.68191
NO,2024,0.33333333333
PL,2024,5.11397
PT,2024,6.2298940076600005
RO,2024,3.393
RS,2024,0.15505
SE,2024,3.26778670204
SI,2024,0.951
SK,2024,0.86121212121
TR,2024,10.75
UA,2024,0.527575
UK,2024,14.10026244358
